11/09/18|11:58:16 PM|prime_strategy_|7|1|#CSPC2018 amazing discussions today with experts on shaping water policy for canada @Zafar_Adeel_ @NicH2Olas @AngelaMSci @RyUrbanWater @SFU @WWFCanada @lswatuk @LindaDebassige #francisscarpaleggia #juliabaird and all https://t.co/MkeY6MIiFE
11/09/18|11:22:10 PM|clopezcorrea|2|0|Bye bye Ottawa and #CSPC2018 And here we go Montreal! friends, snow, good food: jadore Montreal  https://t.co/hnuHphkfh0
11/09/18|11:00:00 PM|ConviviumProj|0|0|"Deriding religious belief is neither necessary for the work of science nor prudent from a public relations standpoint." @IngenuityArtshttps://t.co/TWZVosxRhk #CSPC2018 https://t.co/rRPMPNqxmJ
11/09/18|10:40:38 PM|TOSciPolicyNet|8|0|Keep an eye out for an interview with TSPN Executives @EllenGute and @oxidantshappen at @sciencepolicy! We'll be tweeting it out once it's live. #CSPC2018 https://t.co/ZP2JRcg1PH
11/09/18|10:40:06 PM|krisprou|5|0|So please to have helped plan this wonderful conference.#CSPC2018 https://t.co/9KSlewmqJC
11/09/18|10:23:57 PM|sung_vanessa|37|1|One of the biggest joys of my life is seeing a STEM student take charge of her future by getting involved &amp; becoming a leader in #scipol, doesnt hurt when that student happens to be your sister  #soproud #CSPC2018 https://t.co/bxhxeJG8AS
11/09/18|10:15:14 PM|rosanna_dent|2|0|#CSPC2018 has excellent taste! Congratulations! https://t.co/HQv6OvLgx7
11/09/18|10:15:12 PM|sciencepolicy|8|0|What a great #CSPC2018 Symposium, Policy and Funding Models for Graduate Students and Postdoctoral Fellows! Thank you @UofT and Helen Lasthiokis for organizing, Vivek Goel for moderating, and @alejandroadem, Dr. Martha Crago, Dr. Bonnie Le, and Dr. P. Kay Lund for speaking!
11/09/18|10:15:12 PM|sciencepolicy|4|1|Thank you Jeff Kinder, Silke Nebel, Kori St-Cyr, and @kimberlygirling for a great #CSPC2018 symposium, Science Policy 101!
11/09/18|10:14:24 PM|DrStevenMurphy|14|4|What I have found to be extremely effective is framing EDI in terms of the innovation, discovery and excellence that are driven out of groups that are more diverse. Speaking earlier today at #CSPC2018 @sciencepolicy #Diversity #DiversityandInclusion https://t.co/5vNaUbwVqY
11/09/18|10:06:38 PM|MadisonRilling|10|0|Heading home after a busy week at #CSPC2018! Highlight: @sciencepolicy made #science &amp; the #nextgen a main theme  Got to discuss #funding and involvement of #students in decision-making with reps from @NSERC_CRSNG @CIHR_IRSC &amp; @SSHRC_CRSH - to be continued! https://t.co/bb8RUm4QND
11/09/18|10:00:23 PM|MehrdadHariri|26|0|Amazing team of #CSPC2018 volunteers at post conference delight,  thank you thank you thank you #cdnsci #scipolicy https://t.co/F5qRQ9vQ8f
11/09/18|09:59:16 PM|BlakeFreier|4|0|Thanks to @sciencepolicy for putting on another great conference. Learned a lot, got inspired, attended lots of interesting panels, and I even got to be on one this year with @DLEKirkwood @tgruos and @MadisonRilling Already looking forward to next year #cspc2018
11/09/18|09:51:20 PM|this_is_farah|15|1|Thank you to all the @sciencepolicy volunteers, speakers &amp; partners who made #CSPC2018 a reality! I learned a lot, met folks (esp Twitter faces) &amp; had informative conversations.There is room for improvement (... looking at panel diversity) so I'm excited to see what's next. https://t.co/vJoFAQRySU
11/09/18|09:49:11 PM|MJProulxGo|2|0|Carleton U's Global Water Insitute and @WWFCanada among groups contributing to gender balanced Water Panel at #CSPC2018 Also 2 very wise Indigenous speakers. @ottriverkeeper
11/09/18|09:47:30 PM|PaoCaroline|4|1|Everyone at #CSPC2018 is welcome to join!  https://t.co/gzUA7dj2VE
11/09/18|09:47:25 PM|karenbronsard|3|0|@KirstyDuncanMP @sciencepolicy Your keynote was insipring! A true #CSPC2018 Success. Thanks for being a part of our evening
11/09/18|09:45:16 PM|sciencepolicy|2|1|Thank you Nick Reid @RyUrbanWater &amp; Zafar Adeel @SFU_Water  for organizing the Brainstorming for Canadas National Water Vision panel as well as their vast group of panellists at #CSPC2018! https://t.co/Pvha4MKksT #Indigenous #waterconservation #waterpolicy #sustainability
11/09/18|09:44:11 PM|queensuResearch|8|1|Thank you to our amazing panel at #CSPC2018 symposium on Canadas energy transition! Our reseachers, industry and government leaders worked through thought-provoking questions, debate and discussion that will inspire future collaborations and dialogue. #energyresearch #scipol https://t.co/CgYoQfd3mk
11/09/18|09:43:10 PM|MJProulxGo|2|1|Heard at #CSPC2018 Water Panel: U.S. has a global water strategy. Can has 20 departments working on water in silos. #cdnpoli @ottriverkeeper
11/09/18|09:40:12 PM|sciencepolicy|18|4|Thank you @ImogenRCoePhD and her group of panellists @ArtMBlake, @DeannaBurgart, @danika_goosney and @DrStevenMurphy for the Equity, Diversity and Inclusion in Science: from Policy to Implementation symposium at #CSPC2018! https://t.co/FzkdUmlpSH #equity #scipolicy #diversity
11/09/18|09:40:09 PM|MJProulxGo|3|1|Another piece of wisdom at #CSPC2018 Water Panel: Water advocates &amp; enviro groups should bring more non-water actors in the conversation to widen range of solutions. @ottriverkeeper
11/09/18|09:38:32 PM|lswatuk|5|4|#Water is part of a complex system says Julia Baird. Water is a living being says @LindaDebassige so why should we treat it mainly as a commodity or an input into production asks me #CSPC2018
11/09/18|09:36:13 PM|TOSciPolicyNet|5|2|The TSPN crew is grabbing dinner after @sciencepolicy. We're meeting at 5 pm in the lobby if anyone wants to join! @DSP_SPE#CSPC2018
11/09/18|09:35:38 PM|ConviviumProj|0|1|Today @stockland_peter dropped by the Canadian Science and Policy Conference in Ottawa today where Cardus Program Director @IngenuityArts diplomatically called on scientists and faith leaders to work together for the public common good.https://t.co/TWZVosPs8S #CSPC2018 https://t.co/Mhinr7K4QP
11/09/18|09:32:29 PM|MJProulxGo|0|0|Lots of insightful ideas at #CSPC2018 panel on Canada's Water Vision. Cdn ministers &amp; civil servants need to attend international conferences to bridge our huge knowledge gap on water issues. #cdnpoli https://t.co/bg68yYbuPe
11/09/18|09:30:45 PM|ONGenomicsCEO|13|2|Couldnt agree more. I learned so much from my co-panelists and our fantastic moderator plus amazing engagement and questions from the audience #CSPC2018 @debstark1 @m_m_campbell @MariaGCorradini lets make this a bigger event next year #cspc2019 @MehrdadHariri https://t.co/VDHDBfeKum
11/09/18|09:13:29 PM|lswatuk|0|0|If you want government to show you the money then you must be able to also show government the appropriate metrics tied to relevant and robust data - paraphrasing Lisa Prime #CSPC2018 #SDG6
11/09/18|09:12:31 PM|DNAziz_|3|0|What a great evening last night #CSPC2018. Thank you to @KirstyDuncanMP @ScienceMin for joining us. As always, it was a pleasure to see you again. Keep doing the great work you do and let us know how we can help! https://t.co/YduBfG4YSj
11/09/18|09:02:03 PM|vote_no_body|4|0|And on that last point, one of the reasons why I so appreciate someone like @ImogenRCoePhD is that she always teaches me how to be a better ally and a human being. As I have said many times, I wish she had been a physicist so that she could have been my supervisor  #CSPC2018
11/09/18|09:01:03 PM|lswatuk|1|1|Once we realize that water doesn't need us maybe then the 3 levels of government - First Nations, provincial &amp; federal governments - will come together in true reconciliation - @LindaDebassige #CSPC2018
11/09/18|08:58:44 PM|PaoCaroline|8|2|A great end to #CSPC2018 w/ the Science Policy 101 symposium feat @JeffKinder10, Sike Nebel @BirdStudiesCan, Kori St. Cyr @CIHR_IRSC, @kimberlygirling! Put what we learned into practice and "solved" the phosphorus problem. #COWllaboration 
